,ID,Condition,MORPH_TYPE,CON_2
1,1,1,1,5.75
2,1,1,2,3.75
3,1,1,1,3.89
4,1,1,2,5.29
5,2,1,1,4.5
6,2,1,2,5
7,2,1,1,5.33
8,2,1,2,6.83
9,3,1,1,8.38
10,3,1,2,7
11,3,1,1,8.57
12,3,1,2,8.14
13,5,1,1,5
14,5,1,2,4.8
15,5,1,1,4.5
16,5,1,2,5.5
17,9,1,1,4.4
18,9,1,2,4.88
19,9,1,1,5.29
20,9,1,2,5.5
21,11,1,1,3.6
22,11,1,2,5
23,11,1,1,3.8
24,11,1,2,3.57
25,12,1,1,6.6
26,12,1,2,8
27,12,1,1,9.33
28,12,1,2,8
29,16,1,1,6.5
30,16,1,2,5.43
31,16,1,1,6
32,16,1,2,5.17
33,17,1,1,5.6
34,17,1,2,5.78
35,17,1,1,5.38
36,17,1,2,4.57
37,18,1,1,5.83
38,18,1,2,5
39,18,1,1,6.83
40,18,1,2,6
41,19,1,1,7.2
42,19,1,2,6.43
43,19,1,1,5.4
44,19,1,2,7
45,20,1,1,4.5
46,20,1,2,4.14
47,20,1,1,4.5
48,20,1,2,4.17
49,23,1,1,9
50,23,1,2,8.43
51,23,1,1,8.88
52,23,1,2,9.17
53,24,1,1,3.5
54,24,1,2,3.75
55,24,1,1,4.5
56,24,1,2,4.86
57,25,1,1,5.71
58,25,1,2,5.4
59,25,1,1,6
60,25,1,2,5.4
61,26,1,1,5.33
62,26,1,2,5
63,26,1,1,5.4
64,26,1,2,4.75
65,29,1,1,8.2
66,29,1,2,7.2
67,29,1,1,10
68,29,1,2,7.17
69,30,1,1,5.67
70,30,1,2,4.88
71,30,1,1,5.33
72,30,1,2,5.86
73,31,1,1,6.67
74,31,1,2,7.8
75,31,1,1,4.25
76,31,1,2,4.75
77,33,1,1,3.33
78,33,1,2,4.67
79,33,1,1,4.6
80,33,1,2,4.67
81,34,1,1,6.89
82,34,1,2,8
83,34,1,1,6
84,34,1,2,6.5
85,35,1,1,4.4
86,35,1,2,4.38
87,35,1,1,4.75
88,35,1,2,6
89,36,1,1,6
90,36,1,2,6.13
91,36,1,1,5.4
92,36,1,2,6.43
93,37,1,1,5.4
94,37,1,2,5.33
95,37,1,1,5.67
96,37,1,2,5.8
97,38,1,1,2.33
98,38,1,2,4
99,38,1,1,2.5
100,38,1,2,3.6
101,39,1,1,3.75
102,39,1,2,4.71
103,39,1,1,4.83
104,39,1,2,4.4
105,42,1,1,8.88
106,42,1,2,6.6
107,42,1,1,8.86
108,42,1,2,9.17
109,43,1,1,8.5
110,43,1,2,6.8
111,43,1,1,7
112,43,1,2,9.43
113,44,1,1,6.43
114,44,1,2,5.8
115,44,1,1,6
116,44,1,2,4.5
117,45,1,1,7.71
118,45,1,2,6.4
119,45,1,1,9.33
120,45,1,2,7.33
121,46,1,1,3.33
122,46,1,2,5.25
123,46,1,1,2.83
124,46,1,2,3.88
125,47,1,1,4.2
126,47,1,2,4.43
127,47,1,1,6
128,47,1,2,4.2
129,48,1,1,7
130,48,1,2,7.14
131,48,1,1,5.86
132,48,1,2,6.5
133,50,1,1,5.5
134,50,1,2,5
135,50,1,1,5.38
136,50,1,2,5.33
137,51,1,1,3.6
138,51,1,2,4.25
139,51,1,1,4.14
140,51,1,2,4.29
141,52,1,1,5.5
142,52,1,2,6.17
143,52,1,1,6.75
144,52,1,2,5.71
145,53,1,1,7
146,53,1,2,6.8
147,53,1,1,7.6
148,53,1,2,6.67
149,504,2,1,8.5
150,504,2,2,8.86
151,504,2,1,9.2
152,504,2,2,8.67
153,506,2,1,5.67
154,506,2,2,5.1
155,506,2,1,4.75
156,506,2,2,5.83
157,508,2,1,5.12
158,508,2,2,4.25
159,508,2,1,6.87
160,508,2,2,4
161,509,2,1,7
162,509,2,2,4.8
163,509,2,1,8.2
164,509,2,2,7.67
165,510,2,1,6.5
166,510,2,2,5.6
167,510,2,1,6.67
168,510,2,2,4.33
169,511,2,1,7.17
170,511,2,2,8
171,511,2,1,4.63
172,511,2,2,7.2
173,512,2,1,7.83
174,512,2,2,10
175,512,2,1,6.44
176,512,2,2,6.71
177,514,2,1,3.33
178,514,2,2,2.6
179,514,2,1,3.8
180,514,2,2,2.5
181,515,2,1,7.14
182,515,2,2,7
183,515,2,1,6.33
184,515,2,2,7.17
185,516,2,1,8.25
186,516,2,2,7.67
187,516,2,1,6.43
188,516,2,2,7.67
189,517,2,1,4.29
190,517,2,2,4.86
191,517,2,1,4.25
192,517,2,2,4.17
193,520,2,1,4.6
194,520,2,2,4.33
195,520,2,1,5.25
196,520,2,2,7
197,521,2,1,6.43
198,521,2,2,5.43
199,521,2,1,6.75
200,521,2,2,6
201,522,2,1,7.8
202,522,2,2,5.14
203,522,2,1,8.25
204,522,2,2,7.11
205,523,2,1,6.67
206,523,2,2,7.86
207,523,2,1,5.62
208,523,2,2,5
209,524,2,1,7.86
210,524,2,2,6.14
211,524,2,1,5.5
212,524,2,2,8.17
213,527,2,1,4.29
214,527,2,2,3.88
215,527,2,1,4.71
216,527,2,2,3.33
217,529,2,1,9.29
218,529,2,2,8.67
219,529,2,1,8.8
220,529,2,2,8.17
221,530,2,1,4.2
222,530,2,2,3.43
223,530,2,1,5.2
224,530,2,2,4.4
225,531,2,1,6.5
226,531,2,2,5.75
227,531,2,1,6.33
228,531,2,2,6.4
229,532,2,1,3.67
230,532,2,2,4
231,532,2,1,3
232,532,2,2,4.6
233,533,2,1,4.14
234,533,2,2,3.33
235,533,2,1,3.5
236,533,2,2,2.8
237,534,2,1,4.8
238,534,2,2,4.86
239,534,2,1,4.6
240,534,2,2,5.5
241,535,2,1,5.17
242,535,2,2,5.8
243,535,2,1,5
244,535,2,2,5
245,536,2,1,6.25
246,536,2,2,5.14
247,536,2,1,8
248,536,2,2,4.5
249,537,2,1,6.86
250,537,2,2,7.33
251,537,2,1,8.4
252,537,2,2,5.6
253,539,2,1,4.83
254,539,2,2,3.6
255,539,2,1,4.33
256,539,2,2,4.13
257,540,2,1,3.8
258,540,2,2,5.25
259,540,2,1,5.5
260,540,2,2,3.86
261,541,2,1,5.8
262,541,2,2,5.63
263,541,2,1,7.25
264,541,2,2,5
265,542,2,1,3.8
266,542,2,2,2.71
267,542,2,1,3.13
268,542,2,2,3.25
269,545,2,1,4.43
270,545,2,2,4.83
271,545,2,1,5.2
272,545,2,2,4.67
273,546,2,1,5.67
274,546,2,2,7.25
275,546,2,1,5.71
276,546,2,2,6.83
277,547,2,1,7
278,547,2,2,6.2
279,547,2,1,7
280,547,2,2,7.38
281,551,2,1,4.5
282,551,2,2,5.29
283,551,2,1,4.5
284,551,2,2,5.67
