ID,FACE_SHAPE,CONDITION,FACE_SET,MORPH_TYPE,CON_1,CON_2
1,1,1,1,1,5.44,5.75
1,1,2,1,2,3.89,3.75
1,1,3,2,1,4,3.89
1,1,4,2,2,5.2,5.29
2,1,1,1,1,4.6,4.5
2,1,2,1,2,4.6,5
2,1,3,2,1,5.8,5.33
2,1,4,2,2,5.9,6.83
3,1,1,1,1,8.18,8.38
3,1,2,1,2,6.7,7
3,1,3,2,1,9,8.57
3,1,4,2,2,7.22,8.14
4,1,1,1,1,6.3,6
4,1,2,1,2,6.44,6
4,1,3,2,1,6,6
4,1,4,2,2,6.15,5.9
5,1,1,1,1,4.91,5
5,1,2,1,2,5,4.8
5,1,3,2,1,4.5,4.5
5,1,4,2,2,4.88,5.5
8,1,1,1,1,5.2,4.2
8,1,2,1,2,5.09,4.25
8,1,3,2,1,4,4
8,1,4,2,2,5,4.5
9,1,1,1,1,3.89,4.4
9,1,2,1,2,4.7,4.88
9,1,3,2,1,5.2,5.29
9,1,4,2,2,4.9,5.5
10,1,1,1,1,7.7,10
10,1,2,1,2,7.64,6.5
10,1,3,2,1,6,6.25
10,1,4,2,2,7,7.14
11,1,1,1,1,3.6,3.6
11,1,2,1,2,4.33,5
11,1,3,2,1,3.78,3.8
11,1,4,2,2,3.17,3.57
12,1,1,1,1,6.67,6.6
12,1,2,1,2,7.64,8
12,1,3,2,1,7.9,9.33
12,1,4,2,2,7.1,8
16,1,1,1,1,6,6.5
16,1,2,1,2,5.3,5.43
16,1,3,2,1,5.9,6
16,1,4,2,2,5.64,5.17
17,1,1,1,1,5.1,5.6
17,1,2,1,2,5.6,5.78
17,1,3,2,1,5.64,5.38
17,1,4,2,2,4.56,4.57
18,1,1,1,1,6.8,5.83
18,1,2,1,2,5.09,5
18,1,3,2,1,6.22,6.83
18,1,4,2,2,5.2,6
19,1,1,1,1,6.4,7.2
19,1,2,1,2,5.7,6.43
19,1,3,2,1,6.56,5.4
19,1,4,2,2,6.1,7
20,1,1,1,1,4.44,4.5
20,1,2,1,2,4.27,4.14
20,1,3,2,1,4.56,4.5
20,1,4,2,2,4.3,4.17
21,1,1,1,1,5,5.25
21,1,2,1,2,6.63,6.75
21,1,3,2,1,6.6,7
21,1,4,2,2,6.2,6.67
22,1,1,1,1,6.5,7
22,1,2,1,2,6,5.67
22,1,3,2,1,7.89,8.33
22,1,4,2,2,8.9,10
23,1,1,1,1,9,9
23,1,2,1,2,8.4,8.43
23,1,3,2,1,8.73,8.88
23,1,4,2,2,8.75,9.17
24,1,1,1,1,3.9,3.5
24,1,2,1,2,3.73,3.75
24,1,3,2,1,3.9,4.5
24,1,4,2,2,4.78,4.86
25,1,1,1,1,5.3,5.71
25,1,2,1,2,5.67,5.4
25,1,3,2,1,4.9,6
25,1,4,2,2,5.27,5.4
26,1,1,1,1,5.4,5.33
26,1,2,1,2,5.2,5
26,1,3,2,1,5.4,5.4
26,1,4,2,2,4.88,4.75
27,1,1,1,1,4.44,4.6
27,1,2,1,2,5.09,5.25
27,1,3,2,1,4.8,5
27,1,4,2,2,4.44,4
28,1,1,1,1,4.67,6
28,1,2,1,2,5.91,5.67
28,1,3,2,1,5,5.67
28,1,4,2,2,4.33,4.6
29,1,1,1,1,9.18,8.2
29,1,2,1,2,7,7.2
29,1,3,2,1,9.1,10
29,1,4,2,2,7.5,7.17
30,1,1,1,1,5.4,5.67
30,1,2,1,2,4.8,4.88
30,1,3,2,1,5,5.33
30,1,4,2,2,5.82,5.86
31,1,1,1,1,6,6.67
31,1,2,1,2,7.11,7.8
31,1,3,2,1,4.73,4.25
31,1,4,2,2,5.78,4.75
32,1,1,1,1,5.89,8
32,1,2,1,2,5.3,6.5
32,1,3,2,1,6.2,6.6
32,1,4,2,2,6.09,7.8
33,1,1,1,1,3.5,3.33
33,1,2,1,2,4.3,4.67
33,1,3,2,1,4.75,4.6
33,1,4,2,2,4.3,4.67
34,1,1,1,1,6.5,6.89
34,1,2,1,2,7.3,8
34,1,3,2,1,6.91,6
34,1,4,2,2,6.89,6.5
35,1,1,1,1,4.18,4.4
35,1,2,1,2,4.22,4.38
35,1,3,2,1,4.36,4.75
35,1,4,2,2,5.33,6
36,1,1,1,1,6,6
36,1,2,1,2,6.27,6.13
36,1,3,2,1,5.5,5.4
36,1,4,2,2,6.11,6.43
37,1,1,1,1,5.5,5.4
37,1,2,1,2,5.14,5.33
37,1,3,2,1,4.75,5.67
37,1,4,2,2,5.33,5.8
38,1,1,1,1,2.44,2.33
38,1,2,1,2,3.8,4
38,1,3,2,1,2.64,2.5
38,1,4,2,2,3.4,3.6
39,1,1,1,1,4.64,3.75
39,1,2,1,2,4.78,4.71
39,1,3,2,1,5.22,4.83
39,1,4,2,2,4.3,4.4
40,1,1,1,1,5.38,5
40,1,2,1,2,5.5,6
40,1,3,2,1,5.13,5
40,1,4,2,2,5.25,5.14
41,1,1,1,1,5.6,5.5
41,1,2,1,2,4.56,4
41,1,3,2,1,4.36,4
41,1,4,2,2,4.1,4.33
42,1,1,1,1,8.45,8.88
42,1,2,1,2,6.67,6.6
42,1,3,2,1,8.55,8.86
42,1,4,2,2,9,9.17
43,1,1,1,1,7.44,8.5
43,1,2,1,2,6.18,6.8
43,1,3,2,1,7.22,7
43,1,4,2,2,8.36,9.43
44,1,1,1,1,6.2,6.43
44,1,2,1,2,5.5,5.8
44,1,3,2,1,5.73,6
44,1,4,2,2,5.67,4.5
45,1,1,1,1,7,7.71
45,1,2,1,2,7.6,6.4
45,1,3,2,1,8.18,9.33
45,1,4,2,2,7.78,7.33
46,1,1,1,1,3.45,3.33
46,1,2,1,2,4.11,5.25
46,1,3,2,1,3.2,2.83
46,1,4,2,2,3.9,3.88
47,1,1,1,1,4.1,4.2
47,1,2,1,2,4.5,4.43
47,1,3,2,1,5.44,6
47,1,4,2,2,4.36,4.2
48,1,1,1,1,6.33,7
48,1,2,1,2,6.58,7.14
48,1,3,2,1,6.55,5.86
48,1,4,2,2,6.13,6.5
49,1,1,1,1,4.36,4.2
49,1,2,1,2,4.25,4.33
49,1,3,2,1,4.09,4.2
49,1,4,2,2,4.22,4.5
50,1,1,1,1,5.22,5.5
50,1,2,1,2,4.83,5
50,1,3,2,1,5.38,5.38
50,1,4,2,2,5.2,5.33
51,1,1,1,1,3.82,3.6
51,1,2,1,2,4.5,4.25
51,1,3,2,1,4.36,4.14
51,1,4,2,2,4.6,4.29
52,1,1,1,1,5.3,5.5
52,1,2,1,2,6.4,6.17
52,1,3,2,1,6,6.75
52,1,4,2,2,6.45,5.71
53,1,1,1,1,6.5,7
53,1,2,1,2,7.2,6.8
53,1,3,2,1,7,7.6
53,1,4,2,2,7.2,6.67
501,2,1,1,1,4.56,4.6
501,2,2,1,2,4.91,4.6
501,2,3,2,1,5.11,5
501,2,4,2,2,4.4,4.25
502,2,1,1,1,7.5,7.33
502,2,2,1,2,8.6,8
502,2,3,2,1,7,6.14
502,2,4,2,2,9,10
503,2,1,1,1,5.4,6.67
503,2,2,1,2,6.6,6.86
503,2,3,2,1,4.2,4.6
503,2,4,2,2,5.1,5.8
504,2,1,1,1,8.8,8.5
504,2,2,1,2,9.2,8.86
504,2,3,2,1,8.9,9.2
504,2,4,2,2,8.4,8.67
505,2,1,1,1,10,10
505,2,2,1,2,9.2,10
505,2,3,2,1,9,10
505,2,4,2,2,8.36,8.2
506,2,1,1,1,5.33,5.67
506,2,2,1,2,5.1,5.1
506,2,3,2,1,6.3,4.75
506,2,4,2,2,5.78,5.83
507,2,1,1,1,5.75,7.33
507,2,2,1,2,6.33,5.86
507,2,3,2,1,6.6,7
507,2,4,2,2,5.5,5.33
508,2,1,1,1,4.82,5.12
508,2,2,1,2,3.78,4.25
508,2,3,2,1,5.91,6.87
508,2,4,2,2,3.22,4
509,2,1,1,1,8,7
509,2,2,1,2,4.1,4.8
509,2,3,2,1,6.44,8.2
509,2,4,2,2,6.36,7.67
510,2,1,1,1,6,6.5
510,2,2,1,2,5.5,5.6
510,2,3,2,1,6.5,6.67
510,2,4,2,2,4.8,4.33
511,2,1,1,1,6.13,7.17
511,2,2,1,2,7,8
511,2,3,2,1,4.78,4.63
511,2,4,2,2,6.45,7.2
512,2,1,1,1,7.33,7.83
512,2,2,1,2,6.8,10
512,2,3,2,1,6.36,6.44
512,2,4,2,2,7,6.71
513,2,1,1,1,6,6
513,2,2,1,2,6.2,6.33
513,2,3,2,1,6.3,6.43
513,2,4,2,2,5.8,5.8
514,2,1,1,1,4.5,3.33
514,2,2,1,2,3.1,2.6
514,2,3,2,1,4.56,3.8
514,2,4,2,2,2.7,2.5
515,2,1,1,1,7.42,7.14
515,2,2,1,2,6.38,7
515,2,3,2,1,6.33,6.33
515,2,4,2,2,6.82,7.17
516,2,1,1,1,8.36,8.25
516,2,2,1,2,8,7.67
516,2,3,2,1,6.6,6.43
516,2,4,2,2,6.5,7.67
517,2,1,1,1,4.3,4.29
517,2,2,1,2,4.9,4.86
517,2,3,2,1,4.2,4.25
517,2,4,2,2,4.8,4.17
518,2,1,1,1,4,3.5
518,2,2,1,2,4.6,5
518,2,3,2,1,4.9,4.2
518,2,4,2,2,4.3,4
520,2,1,1,1,5.2,4.6
520,2,2,1,2,4.11,4.33
520,2,3,2,1,5.57,5.25
520,2,4,2,2,5.25,7
521,2,1,1,1,5.78,6.43
521,2,2,1,2,5.55,5.43
521,2,3,2,1,6.25,6.75
521,2,4,2,2,5.64,6
522,2,1,1,1,7.56,7.8
522,2,2,1,2,5.64,5.14
522,2,3,2,1,7.1,8.25
522,2,4,2,2,7,7.11
523,2,1,1,1,6.7,6.67
523,2,2,1,2,7.4,7.86
523,2,3,2,1,5.8,5.62
523,2,4,2,2,5.78,5
524,2,1,1,1,7.8,7.86
524,2,2,1,2,5.5,6.14
524,2,3,2,1,5.6,5.5
524,2,4,2,2,7.4,8.17
525,2,1,1,1,5.7,6.6
525,2,2,1,2,5.78,5
525,2,3,2,1,4.8,4.83
525,2,4,2,2,6.9,6.17
527,2,1,1,1,4.44,4.29
527,2,2,1,2,3.7,3.88
527,2,3,2,1,4.82,4.71
527,2,4,2,2,4.13,3.33
528,2,1,1,1,7,5.75
528,2,2,1,2,8,8
528,2,3,2,1,7.38,8.2
528,2,4,2,2,6.57,7.33
529,2,1,1,1,9.1,9.29
529,2,2,1,2,7.7,8.67
529,2,3,2,1,8.8,8.8
529,2,4,2,2,7.3,8.17
530,2,1,1,1,4.63,4.2
530,2,2,1,2,4.1,3.43
530,2,3,2,1,5.13,5.2
530,2,4,2,2,4.09,4.4
531,2,1,1,1,7.2,6.5
531,2,2,1,2,6.2,5.75
531,2,3,2,1,6.7,6.33
531,2,4,2,2,8,6.4
532,2,1,1,1,3.13,3.67
532,2,2,1,2,3.78,4
532,2,3,2,1,3.6,3
532,2,4,2,2,4.11,4.6
533,2,1,1,1,4,4.14
533,2,2,1,2,3.6,3.33
533,2,3,2,1,3.33,3.5
533,2,4,2,2,3.82,2.8
534,2,1,1,1,5.11,4.8
534,2,2,1,2,4.91,4.86
534,2,3,2,1,4.8,4.6
534,2,4,2,2,4.9,5.5
535,2,1,1,1,5.09,5.17
535,2,2,1,2,5.22,5.8
535,2,3,2,1,5,5
535,2,4,2,2,5.09,5
536,2,1,1,1,6,6.25
536,2,2,1,2,4.45,5.14
536,2,3,2,1,5.33,8
536,2,4,2,2,4.6,4.5
537,2,1,1,1,6.5,6.86
537,2,2,1,2,7.2,7.33
537,2,3,2,1,8,8.4
537,2,4,2,2,5.5,5.6
538,2,1,1,1,7.4,6.86
538,2,2,1,2,7.4,7.67
538,2,3,2,1,7.6,8
538,2,4,2,2,8.57,8
539,2,1,1,1,5,4.83
539,2,2,1,2,4.22,3.6
539,2,3,2,1,5.2,4.33
539,2,4,2,2,4,4.13
540,2,1,1,1,3.8,3.8
540,2,2,1,2,6.7,5.25
540,2,3,2,1,5.27,5.5
540,2,4,2,2,3.67,3.86
541,2,1,1,1,6.22,5.8
541,2,2,1,2,5.4,5.63
541,2,3,2,1,6.89,7.25
541,2,4,2,2,5.56,5
542,2,1,1,1,2.9,3.8
542,2,2,1,2,3,2.71
542,2,3,2,1,3.3,3.13
542,2,4,2,2,3.3,3.25
543,2,1,1,1,9.5,10
543,2,2,1,2,7.9,7.4
543,2,3,2,1,7.5,7.6
543,2,4,2,2,7,6.6
544,2,1,1,1,10,10
544,2,2,1,2,10,10
544,2,3,2,1,10,10
544,2,4,2,2,10,10
545,2,1,1,1,4.78,4.43
545,2,2,1,2,4.89,4.83
545,2,3,2,1,5.22,5.2
545,2,4,2,2,4.9,4.67
546,2,1,1,1,5.5,5.67
546,2,2,1,2,6.64,7.25
546,2,3,2,1,6.11,5.71
546,2,4,2,2,6.36,6.83
547,2,1,1,1,7,7
547,2,2,1,2,6.6,6.2
547,2,3,2,1,6.5,7
547,2,4,2,2,7.4,7.38
549,2,1,1,1,6.42,7.33
549,2,2,1,2,7.29,7.2
549,2,3,2,1,5.36,5.75
549,2,4,2,2,4.56,4.25
550,2,1,1,1,7.2,6.71
550,2,2,1,2,5.4,5.2
550,2,3,2,1,5.78,5
550,2,4,2,2,6.91,6.75
551,2,1,1,1,4.5,4.5
551,2,2,1,2,5.5,5.29
551,2,3,2,1,5,4.5
551,2,4,2,2,5.55,5.67
